Order_ID,Order_Date,Customer_Name,Segment,City,State,Category,Sub_Category,Product_Name,Price,Quantity,Discount,total_amount
ORD-1000,2023-08-17,Customer_18,Home Office,Houston,TX,Technology,Laptop,Laptop Model-4,17.38,5.0,0.3,86.89999999999999
ORD-1001,2023-04-06,Customer_28,Consumer,New York,NY,Technology,Laptop,Laptop Model-17,297.29,1.0,0.2,297.29
ORD-1002,2023-08-14,Customer_58,Home Office,Miami,FL,Furniture,Table,Table Model-9,359.43,9.0,0.0,3234.87
ORD-1003,2023-12-11,Customer_14,Consumer,Houston,TX,Furniture,Sofa,Sofa Model-13,173.42,3.0,0.0,520.26
ORD-1004,2024-07-03,Customer_16,Corporate,Denver,CO,Office Supplies,Pen Set,Pen Set Model-3,303.84,1.0,0.2,303.84
ORD-1005,2024-11-08,Customer_30,Corporate,New York,NY,Office Supplies,Pen Set,Pen Set Model-3,290.79,2.0,0.0,581.58
ORD-1006,2024-01-15,Customer_46,Consumer,Chicago,IL,Furniture,Sofa,Sofa Model-9,253.13,6.0,0.3,1518.78
ORD-1007,2023-06-17,Customer_60,Corporate,Houston,TX,Technology,Laptop,Laptop Model-9,306.52,3.0,0.3,919.56
ORD-1008,2023-02-02,Customer_104,Corporate,Houston,TX,Technology,Monitor,Monitor Model-13,343.88,1.0,0.0,343.88
ORD-1009,2023-08-06,Customer_84,Corporate,Seattle,WA,Furniture,Table,Table Model-13,457.0,10.0,0.3,4570.0
ORD-1010,2024-08-21,Customer_55,Home Office,Phoenix,AZ,Office Supplies,Paper,Paper Model-13,136.12,4.0,0.0,544.48
ORD-1011,2023-04-23,Customer_20,Home Office,New York,NY,Furniture,Table,Table Model-6,257.22,2.0,0.3,514.44
ORD-1012,2024-06-25,Customer_33,Home Office,Denver,CO,Office Supplies,Binder,Binder Model-1,195.46,10.0,0.3,1954.6000000000001
ORD-1013,2024-10-18,Customer_44,Consumer,Phoenix,AZ,Technology,Laptop,Laptop Model-10,342.45,9.0,0.1,3082.0499999999997
ORD-1014,2024-06-03,Customer_117,Consumer,Chicago,IL,Furniture,Sofa,Sofa Model-10,6.61,5.0,0.3,33.050000000000004
ORD-1015,2024-09-05,Customer_42,Corporate,Unknown,NY,Technology,Monitor,Monitor Model-1,80.66,3.0,0.0,241.98
ORD-1016,2023-03-29,Customer_94,Corporate,Los Angeles,CA,Office Supplies,Pen Set,Pen Set Model-3,123.53,4.0,0.2,494.12
ORD-1017,2023-09-29,Customer_68,Home Office,Chicago,IL,Furniture,Table,Table Model-14,331.58,9.0,0.0,2984.22
ORD-1018,2024-03-24,Customer_116,Home Office,Seattle,WA,Technology,Monitor,Monitor Model-15,357.91,7.0,0.0,2505.3700000000003
ORD-1019,2024-08-25,Customer_29,Consumer,Houston,TX,Furniture,Table,Table Model-3,36.69,1.0,0.3,36.69
ORD-1020,2023-03-14,Customer_66,Consumer,Seattle,WA,Technology,Laptop,Laptop Model-9,118.33,1.0,0.3,118.33
ORD-1021,2023-09-06,Customer_101,Corporate,Denver,CO,Office Supplies,Paper,Paper Model-14,271.92,10.0,0.0,2719.2000000000003
ORD-1022,2024-02-25,Customer_60,Home Office,Miami,FL,Furniture,Chair,Chair Model-2,331.2,6.0,0.3,1987.1999999999998
ORD-1023,2023-09-12,Customer_25,Consumer,Los Angeles,CA,Technology,Laptop,Laptop Model-18,35.0,6.0,0.1,210.0
ORD-1024,2023-03-19,Customer_57,Home Office,Houston,TX,Furniture,Sofa,Sofa Model-4,95.83,8.0,0.0,766.64
ORD-1025,2024-02-21,Customer_63,Corporate,Chicago,IL,Technology,Laptop,Laptop Model-7,484.65,4.0,0.1,1938.6
ORD-1026,2024-04-10,Customer_37,Corporate,Phoenix,AZ,Furniture,Table,Table Model-18,192.59,7.0,0.3,1348.13
ORD-1027,2023-03-01,Customer_75,Home Office,Houston,TX,Technology,Phone,Phone Model-18,81.62,5.0,0.0,408.1
ORD-1028,2024-05-29,Customer_118,Home Office,Denver,CO,Technology,Printer,Printer Model-6,33.3,10.0,0.0,333.0
ORD-1029,2024-11-22,Customer_111,Consumer,Los Angeles,CA,Technology,Laptop,Laptop Model-13,426.41,2.0,0.0,852.82
